Word,Pinyin,POS,Translation
大有可为,dàyǒu-kěwéi,,
大宗,dàzōng,形、名,
逮,dǎi,动,
歹徒,dǎitú,名,
逮捕,dàibǔ,动,
带队,dàiduì,动,
怠工,dàigōng,动,
代号,dàihào,名,
代理人,dàilǐrén,名,
带路,dàilù,动,
怠慢,dàimàn,动,
带头,dàitóu,动,
代言,dàiyán,动,
担,dān,动,
担保,dānbǎo,动,
单边,dānbiān,形,
单薄,dānbó,形,
担当,dāndāng,动,
单方面,dānfāngmiàn,名,
担负,dānfù,动,
耽搁,dānge,动,
单价,dānjià,名,
单身,dānshēn,动、名、副,
胆量,dǎnliàng,名,
胆怯,dǎnqiè,形,
胆小鬼,dǎnxiǎoguǐ,名,
担,dàn,名、量,
诞辰,dànchén,名,
淡化,dànhuà,动,
淡季,dànjì,名,
淡水,dànshuǐ,名,
但愿,dànyuàn,动,
担子,dànzi,名,
当即,dāngjí,副,
当机立断,dāngjī-lìduàn,,
当日,dāngrì,名,
当事人,dāngshìrén,名,
当务之急,dāngwùzhījí,,
当心,dāngxīn,动,
当之无愧,dāngzhīwúkuì,,
当众,dāngzhòng,副,
党,dǎng,名,
档次,dàngcì,名,
当晚,dàngwǎn,名,
荡漾,dàngyàng,动,
当真,dàngzhēn,动、副,
导弹,dǎodàn,名,
导航,dǎoháng,动,
导火索,dǎohuǒsuǒ,名,
捣乱,dǎoluàn,动,
倒霉,dǎoméi,形,
倒塌,dǎotā,动,
导向,dǎoxiàng,动、名,
岛屿,dǎoyǔ,名,
盗,dào,动,
盗版,dàobǎn,动、名,
道别,dàobié,动,
稻草,dàocǎo,名,
倒计时,dàojìshí,动,
道具,dàojù,名,
悼念,dàoniàn,动,
盗窃,dàoqiè,动,
倒数,dàoshǔ,动,
到头来,dàotóulái,副,
倒退,dàotuì,动,
到位,dàowèi,动、形,
得不偿失,débùchángshī,,
德才兼备,décái-jiānbèi,,
得当,dédàng,形,
得力,délì,形,
得失,déshī,名,
得手,déshǒu,形,
得体,détǐ,形,
得天独厚,détiāndúhòu,,
得心应手,déxīn-yìngshǒu,,
得益,déyì,动,
得意扬扬,déyì-yángyáng,,
得罪,dézuì,动,
蹬,dēng,动,
登场,dēngchǎng,动,
登顶,dēngdǐng,动,
登陆,dēnglù,动,
灯泡,dēngpào,名,
瞪,dèng,动,
凳子,dèngzi,名,
堤,dī,名,
堤坝,dībà,名,
低调,dīdiào,名、形,
提防,dīfang,动,
低谷,dīgǔ,名,
低估,dīgū,动,
低落,dīluò,形,
低迷,dīmí,形,
低下,dīxià,形,
嘀咕,dígu,动,
敌视,díshì,动,
笛子,dízi,名,
抵,dǐ,动,
底层,dǐcéng,名,
抵触,dǐchù,动,
抵挡,dǐdǎng,动,
底线,dǐxiàn,名,
抵消,dǐxiāo,动,
抵押,dǐyā,动,
抵御,dǐyù,动,
底蕴,dǐyùn,名,
抵制,dǐzhì,动,
底子,dǐzi,名,
地板,dìbǎn,名,
地步,dìbù,名,
地带,dìdài,名,
地道,dìdào,名,
地段,dìduàn,名,
帝国,dìguó,名,
递交,dìjiāo,动,
地势,dìshì,名,
地毯,dìtǎn,名,
地下水,dìxiàshuǐ,名,
第一手,dìyīshǒu,形,
地狱,dìyù,名,
递增,dìzēng,动,
弟子,dìzǐ,名,
颠簸,diānbǒ,动,
颠倒,diāndǎo,动,
颠倒黑白,diāndǎo-hēibái,,
巅峰,diānfēng,名,
颠覆,diānfù,动,
典范,diǎnfàn,名,
点火,diǎnhuǒ,动,
点评,diǎnpíng,动、名,
点缀,diǎnzhuì,动,
点子,diǎnzi,名,
垫,diàn,动、名,
垫底,diàndǐ,动,
奠定,diàndìng,动,
淀粉,diànfěn,名,
惦记,diànjì,动,
电台,diàntái,名,
殿堂,diàntáng,名,
电网,diànwǎng,名,
电线,diànxiàn,名,
电信,diànxìn,名,
电讯,diànxùn,名,
垫子,diànzi,名,
叼,diāo,动,
雕,diāo,动,
雕刻,diāokè,动、名,
刁难,diāonàn,动,
雕塑,diāosù,动、名,
雕像,diāoxiàng,名,
凋谢,diāoxiè,动,
调2,diào,名,
调度,diàodù,动、名,
掉队,diàoduì,动,
掉头,diàotóu,动,
吊销,diàoxiāo,动,
爹,diē,名,
跌幅,diēfú,名,
叠,dié,动,
碟,dié,名,
迭起,diéqǐ,动,
丁,dīng,名,
盯,dīng,动,
叮嘱,dīngzhǔ,动,
钉子,dīngzi,名,
顶多,dǐngduō,副,
顶级,dǐngjí,形,
顶尖,dǐngjiān,名、形,
钉,dìng,动,
订购,dìnggòu,动,
定金,dìngjīn,名,
定居,dìngjū,动,
订立,dìnglì,动,
定律,dìnglǜ,名,
定论,dìnglùn,名,
