Word,Pinyin,POS,Translation
而已,éryǐ,助,
耳光,ěrguāng,名,
耳目一新,ěrmù-yìxīn,,
耳熟能详,ěrshú-néngxiáng,,
发财,fācái,动,
发呆,fādāi,动,
发抖,fādǒu,动,
发火,fāhuǒ,动,
发酵,fājiào,动,
发觉,fājué,动,
发掘,fājué,动,
发愣,fālèng,动,
发怒,fānù,动,
发热,fārè,动,
发射,fāshè,动,
发誓,fāshì,动,
发泄,fāxiè,动,
发芽,fāyá,动,
发扬,fāyáng,动,
发扬光大,fāyáng-guāngdà,,
发言人,fāyánrén,名,
发源,fāyuán,动,
发源地,fāyuándì,名,
发作,fāzuò,动,
乏力,fálì,形、动,
阀门,fámén,名,
法人,fǎrén,名,
法庭,fǎtíng,名,
法则,fǎzé,名,
法制,fǎzhì,名,
法治,fǎzhì,名、动,
发型,fàxíng,名,
帆,fān,名,
帆船,fānchuán,名,
翻番,fānfān,动,
翻来覆去,fānlái-fùqù,,
翻身,fānshēn,动,
翻天覆地,fāntiān-fùdì,,
翻新,fānxīn,动,
繁多,fánduō,形,
繁华,fánhuá,形,
烦闷,fánmèn,形,
繁体字,fántǐzì,名,
繁衍,fányǎn,动,
繁杂,fánzá,形,
烦躁,fánzào,形,
繁重,fánzhòng,形,
反驳,fǎnbó,动,
反差,fǎnchā,名,
反常,fǎncháng,形,
反倒,fǎndào,副,
反感,fǎngǎn,名、形,
返还,fǎnhuán,动,
反击,fǎnjī,动,
反抗,fǎnkàng,动,
反面,fǎnmiàn,名、形,
反射,fǎnshè,动,
反弹,fǎntán,动,
反问,fǎnwèn,动,
反响,fǎnxiǎng,名,
反省,fǎnxǐng,动,
反之,fǎnzhī,连,
犯愁,fànchóu,动,
范畴,fànchóu,名,
犯规,fànguī,动,
泛滥,fànlàn,动,
贩卖,fànmài,动,
饭碗,fànwǎn,名,
犯罪,fànzuì,动,
方向盘,fāngxiàngpán,名,
方圆,fāngyuán,名,
方针,fāngzhēn,名,
防盗,fángdào,动,
房地产,fángdìchǎn,名,
防范,fángfàn,动,
防护,fánghù,动,
防火墙,fánghuǒqiáng,名,
防守,fángshǒu,动,
防卫,fángwèi,动,
防汛,fángxùn,动,
防疫,fángyì,动,
防御,fángyù,动,
仿,fǎng,动,
仿真,fǎngzhēn,动、形,
仿制,fǎngzhì,动,
纺织,fǎngzhī,动,
放过,fàngguò,动,
放宽,fàngkuān,动,
放射,fàngshè,动,
放水,fàngshuǐ,动,
放肆,fàngsì,形,
放映,fàngyìng,动,
放置,fàngzhì,动,
放纵,fàngzòng,动、形,
非,fēi,动、副、前缀,
飞船,fēichuán,名,
非但,fēidàn,连,
非得,fēiděi,副,
飞碟,fēidié,名,
非法,fēifǎ,形,
非凡,fēifán,形,
飞禽走兽,fēiqín-zǒushòu,,
绯闻,fēiwén,名,
飞翔,fēixiáng,动,
飞跃,fēiyuè,动,
肥料,féiliào,名,
肥皂,féizào,名,
诽谤,fěibàng,动,
废,fèi,动、形,
废除,fèichú,动,
沸沸扬扬,fèifèiyángyáng,,
废话,fèihuà,名、动,
费劲,fèijìn,动,
费力,fèilì,动,
废品,fèipǐn,名,
废弃,fèiqì,动,
废寝忘食,fèiqǐn-wàngshí,,
沸腾,fèiténg,动,
废物,fèiwù,名,
废墟,fèixū,名,
分辨,fēnbiàn,动,
分成,fēnchéng,动,
分寸,fēncun,名,
分担,fēndān,动,
分发,fēnfā,动,
芬芳,fēnfāng,形、名,
吩咐,fēnfù,动,
分割,fēngē,动,
分红,fēnhóng,动,
分化,fēnhuà,动,
分解,fēnjiě,动,
分裂,fēnliè,动,
分泌,fēnmì,动,
分明,fēnmíng,形、副,
分歧,fēnqí,形、名,
分支,fēnzhī,名,
坟,fén,名,
坟墓,fénmù,名,
焚烧,fénshāo,动,
粉末,fěnmò,名,
粉丝1,fěnsī,名,
粉丝2,fěnsī,名,
粉碎,fěnsuì,形、动,
粪,fèn,名,
粪便,fènbiàn,名,
份额,fèn’é,名,
奋力,fènlì,副,
分量,fènliàng,名,
分外,fènwài,副、形,
奋勇,fènyǒng,动,
疯,fēng,动、形,
风暴,fēngbào,名,
风波,fēngbō,名,
风采,fēngcǎi,名,
风餐露宿,fēngcān-lùsù,,
风吹雨打,fēngchuī-yǔdǎ,,
封顶,fēngdǐng,动,
风度,fēngdù,名,
风范,fēngfàn,名,
风和日丽,fēnghé-rìlì,,
丰厚,fēnghòu,形,
峰会,fēnghuì,名,
峰回路转,fēnghuí-lùzhuǎn,,
封建,fēngjiàn,名、形,
风景线,fēngjǐngxiàn,名,
风浪,fēnglàng,名,
锋利,fēnglì,形,
风流,fēngliú,形,
丰满,fēngmǎn,形,
风貌,fēngmào,名,
蜂蜜,fēngmì,名,
封面,fēngmiàn,名,
风气,fēngqì,名,
风情,fēngqíng,名,
风趣,fēngqù,形,
风沙,fēngshā,名,
风尚,fēngshàng,名,
丰盛,fēngshèng,形,
风水,fēngshuǐ,名,
丰硕,fēngshuò,形,
封锁,fēngsuǒ,动,
风土人情,fēngtǔ-rénqíng,,
风味,fēngwèi,名,
风云,fēngyún,名,
风雨无阻,fēngyǔ-wúzǔ,,
风筝,fēngzheng,名,
疯子,fēngzi,名,
逢,féng,动,
缝,féng,动,
缝合,fénghé,动,
讽刺,fěngcì,动,
缝,fèng,名,
凤凰,fènghuáng,名,
凤毛麟角,fèngmáo-línjiǎo,,
佛,fó,名,
否决,fǒujué,动,
敷,fū,动,
孵化,fūhuà,动,
肤浅,fūqiǎn,形,
敷衍,fūyǎn,动,
扶持,fúchí,动,
浮动,fúdòng,动,
俘获,fúhuò,动,
浮力,fúlì,名,
俘虏,fúlǔ,动、名,
福气,fúqi,名,
服气,fúqì,动,
辐射,fúshè,动,
服饰,fúshì,名,
服务器,fúwùqì,名,
浮现,fúxiàn,动,
浮躁,fúzào,形,
腐败,fǔbài,形、动,
腐烂,fǔlàn,动、形,
抚摸,fǔmō,动,
腐蚀,fǔshí,动,
俯视,fǔshì,动,
俯首,fǔshǒu,动,
腐朽,fǔxiǔ,动、形,
抚恤,fǔxù,动,
抚养,fǔyǎng,动,
斧子,fǔzi,名,
负,fù,动、形,
附,fù,动,
赴,fù,动,
腹,fù,名,
副本,fùběn,名,
复查,fùchá,动,
附带,fùdài,动、副、形,
复发,fùfā,动,
富含,fùhán,动,
富豪,fùháo,名,
复合,fùhé,动,
附和,fùhè,动,
复活,fùhuó,动,
附加,fùjiā,动,
富强,fùqiáng,形,
附属,fùshǔ,形、动,
复苏,fùsū,动,
富翁,fùwēng,名,
腹泻,fùxiè,动,
复兴,fùxīng,动,
复原,fùyuán,动,
负重,fùzhòng,动,
富足,fùzú,形,
副作用,fùzuòyòng,名,
改版,gǎibǎn,动,
改动,gǎidòng,动,
改观,gǎiguān,动,
改良,gǎiliáng,动,
改日,gǎirì,副,
改邪归正,gǎixié-guīzhèng,,
改装,gǎizhuāng,动,
钙,gài,名,
概,gài,副,
概况,gàikuàng,名,
概论,gàilùn,名,
干戈,gāngē,名,
干枯,gānkū,形,
干涉,gānshè,动,
甘心,gānxīn,动,
干预,gānyù,动,
杆,gǎn,名、量,
感触,gǎnchù,名,
感恩,gǎnēn,动,
赶赴,gǎnfù,动,
感慨,gǎnkǎi,动,
感叹,gǎntàn,动,
感悟,gǎnwù,动,
感性,gǎnxìng,形,
干部,gànbù,名,
干劲,gànjìn,名,
干事,gànshi,名,
缸,gāng,名,
纲领,gānglǐng,名,
钢铁,gāngtiě,名、形,
纲要,gāngyào,名,
港,gǎng,名,
港湾,gǎngwān,名,
杠杆,gànggǎn,名,
高额,gāo’é,形,
高昂,gāo’áng,动、形,
高傲,gāo’ào,形,
高潮,gāocháo,名,
高调,gāodiào,名、形,
高贵,gāoguì,形,
高见,gāojiàn,名,
高空,gāokōng,名,
高龄,gāolíng,名、 形,
高明,gāomíng,形、名,
高血压,gāoxuèyā,名,
高雅,gāoyǎ,形,
高压,gāoyā,名、形,
高涨,gāozhǎng,动、形,
搞鬼,gǎoguǐ,动,
搞笑,gǎoxiào,动、形,
告,gào,动,
告辞,gàocí,动,
告诫,gàojiè,动,
告示,gàoshi,名,
告知,gàozhī,动,
告状,gàozhuàng,动,
搁,gē,动,
戈壁,gēbì,名,
疙瘩,gēda,名,
歌剧,gējù,名,
搁浅,gēqiǎn,动,
歌颂,gēsòng,动,
歌舞,gēwǔ,名,
歌谣,gēyáo,名,
搁置,gēzhì,动,
鸽子,gēzi,名,
格格不入,gégé-búrù,,
隔阂,géhé,名,
格局,géjú,名,
隔离,gélí,动,
阁楼,gélóu,名,
格式,géshi,名,
革新,géxīn,动,
格子,gézi,名,
个案,gè’àn,名,
各抒己见,gèshū-jǐjiàn,,
个头儿,gètóur,名,
根基,gēnjī,名,
跟进,gēnjìn,动,
根深蒂固,gēnshēn-dìgù,,
根源,gēnyuán,名、动,
根治,gēnzhì,动,
耕,gēng,动,
耕地,gēngdì,动、名,
更改,gēnggǎi,动,
更衣室,gēngyīshì,名,
耕耘,gēngyún,动,
更正,gēngzhèng,动,
哽咽,gěngyè,动,
耿直,gěngzhí,形,
弓,gōng,名、动,
功,gōng,名,
攻,gōng,动,
供,gōng,动,
公办,gōngbàn,形,
供不应求,gōngbúyìngqiú,,
功臣,gōngchén,名,
公道,gōngdao,形,
功底,gōngdǐ,名,
宫殿,gōngdiàn,名,
攻读,gōngdú,动,
公费,gōngfèi,名,
公关,gōngguān,名,
攻关,gōngguān,动,
工会,gōnghuì,名,
工匠,gōngjiàng,名,
恭敬,gōngjìng,形,
攻克,gōngkè,动,
工科,gōngkē,名,
公款,gōngkuǎn,名,
功劳,gōngláo,名,
公立,gōnglì,形,
功力,gōnglì,名,
功利,gōnglì,名,
功率,gōnglǜ,名,
公墓,gōngmù,名,
供暖,gōngnuǎn,动,
公仆,gōngpú,名,
公顷,gōngqǐng,量,
供求,gōngqiú,名,
公然,gōngrán,副,
公示,gōngshì,动,
公式,gōngshì,名,
公事,gōngshì,名,
攻势,gōngshì,名,
宫廷,gōngtíng,名,
恭维,gōngwéi,动,
公务,gōngwù,名,
供需,gōngxū,名,
供养,gōngyǎng,动,
供应链,gōngyìngliàn,名,
公用,gōngyòng,动,
公约,gōngyuē,名,
公证,gōngzhèng,动,
工整,gōngzhěng,形,
公职,gōngzhí,名,
拱,gǒng,动,
供奉,gòngfèng,动、名,
共和国,gònghéguó,名,
共鸣,gòngmíng,动,
共识,gòngshí,名,
共同体,gòngtóngtǐ,名,
共性,gòngxìng,名,
勾,gōu,动,
钩,gōu,名、动,
勾结,gōujié,动,
勾勒,gōulè,动,
构建,gòujiàn,动,
够呛,gòuqiàng,形,
构思,gòusī,动,
构想,gòuxiǎng,动、名,
孤单,gūdān,形,
孤儿,gū’ér,名,
辜负,gūfù,动,
孤立,gūlì,形、动,
孤零零,gūlínglíng,形,
孤陋寡闻,gūlòu-guǎwén,,
姑且,gūqiě,副,
估算,gūsuàn,动,
股,gǔ,量,
鼓动,gǔdòng,动,
古董,gǔdǒng,名,
股东,gǔdōng,名,
股份,gǔfèn,名,
骨干,gǔgàn,名,
骨骼,gǔgé,名,
古怪,gǔguài,形,
古籍,gǔjí,名,
骨架,gǔjià,名,
古今中外,gǔjīn-zhōngwài,,
股民,gǔmín,名,
古朴,gǔpǔ,形,
骨气,gǔqì,名,
谷物,gǔwù,名,
骨折,gǔzhé,动,
故,gù,副、连,
雇,gù,动,
固化,gùhuà,动,
顾及,gùjí,动,
顾虑,gùlǜ,动、名,
顾名思义,gùmíng-sīyì,,
顾全大局,gùquán-dàjú,,
固然,gùrán,连,
雇佣,gùyōng,动,
固有,gùyǒu,形,
雇员,gùyuán,名,
固执,gùzhi,形,
雇主,gùzhǔ,名,
瓜分,guāfēn,动,
刮目相看,guāmù-xiāngkàn,,
瓜子,guāzǐ,名,
寡妇,guǎfu,名,
挂钩,guàgōu,动、名,
挂念,guàniàn,动,
挂失,guàshī,动,
乖,guāi,形,
乖巧,guāiqiǎo,形,
拐杖,guǎizhàng,名,
怪不得,guàibude,动、副,
怪物,guàiwu,名,
怪异,guàiyì,形、名,
官兵,guānbīng,名,
棺材,guāncai,名,
观测,guāncè,动,
观感,guāngǎn,名,
关节,guānjié,名,
官吏,guānlì,名,
官僚,guānliáo,名,
观摩,guānmó,动,
关切,guānqiè,动,
关税,guānshuì,名,
官司,guānsi,名,
关头,guāntóu,名,
观望,guānwàng,动,
关照,guānzhào,动,
管家,guǎnjiā,名,
管教,guǎnjiào,动、名,
管辖,guǎnxiá,动,
管用,guǎnyòng,形,
惯,guàn,动,
灌,guàn,动,
贯彻,guànchè,动,
贯穿,guànchuān,动,
灌溉,guàngài,动,
惯例,guànlì,名,
灌输,guànshū,动,
贯通,guàntōng,动,
罐头,guàntou,名,
惯性,guànxìng,名,
光彩,guāngcǎi,名、形,
光顾,guānggù,动,
光滑,guānghuá,形,
光环,guānghuán,名,
光辉,guānghuī,名、形,
光缆,guānglǎn,名,
光芒,guāngmáng,名,
光明磊落,guāngmíng-lěiluò,,
光盘,guāngpán,名,
光荣,guāngróng,形、名,
光泽,guāngzé,名,
广义,guǎngyì,名,
龟,guī,名,
瑰宝,guībǎo,名,
规格,guīgé,名,
归根到底,guīgēn-dàodǐ,,
归结,guījié,动,
归来,guīlái,动,
归纳,guīnà,动,
闺女,guīnü,名,
归属,guīshǔ,动,
归宿,guīsù,名,
归于,guīyú,动,
规章,guīzhāng,名,
鬼,guǐ,名、形,
轨迹,guǐjì,名,
诡计,guǐjì,名,
贵宾,guìbīn,名,
桂花,guìhuā,名,
柜台,guìtái,名,
贵族,guìzú,名,
滚动,gǔndòng,动,
国防,guófáng,名,
国徽,guóhuī,名,
国民,guómín,名,
国土,guótǔ,名,
国务院,guówùyuàn,名,
国学,guóxué,名,
国有,guóyǒu,动,
裹,guǒ,动,
果断,guǒduàn,形,
果真,guǒzhēn,副、连,
过意不去,guò yì bú qù,,
过半,guòbàn,动,
过不去,guòbuqù,动,
过错,guòcuò,名,
过道,guòdào,名,
过关,guòguān,动,
过奖,guòjiǎng,动,
过境,guòjìng,动,
过量,guòliàng,动,
过滤,guòlǜ,动,
过剩,guòshèng,动,
过失,guòshī,名,
过头,guòtóu,形,
过往,guòwǎng,动、名,
过问,guòwèn,动,
过瘾,guòyǐn,形,
过硬,guòyìng,形,
海报,hǎibào,名,
海滨,hǎibīn,名,
海盗,hǎidào,名,
海军,hǎijūn,名,
海量,hǎiliàng,名、形,
海绵,hǎimián,名,
海滩,hǎitān,名,
海豚,hǎitún,名,
海湾,hǎiwān,名,
海峡,hǎixiá,名,
海啸,hǎixiào,名,
海运,hǎiyùn,动,
海藻,hǎizǎo,名,
害虫,hàichóng,名,
骇人听闻,hàiréntīngwén,,
酣畅,hānchàng,形,
憨厚,hānhòu,形,
酣睡,hānshuì,动,
函,hán,名,
寒带,hándài,名,
涵盖,hángài,动,
含糊,hánhu,形,
含蓄,hánxù,动、形,
寒暄,hánxuān,动,
汉服,Hànfú,名,
汗马功劳,hànmǎ-gōngláo,,
捍卫,hànwèi,动,
夯实,hāngshí,动,
航海,hánghǎi,动,
行家,hángjia,名,
行列,hángliè,名,
行情,hángqíng,名,
航天,hángtiān,动,
航天员,hángtiānyuán,名,
航行,hángxíng,动,
航运,hángyùn,名,
豪华,háohuá,形,
豪迈,háomài,形,
好比,hǎobǐ,动,
好歹,hǎodǎi,名、副,
好受,hǎoshòu,形,
好说,hǎoshuō,动,
好似,hǎosì,动,
好心,hǎoxīn,名,
好意,hǎoyì,名,
好在,hǎozài,副,
耗,hào,动,
号称,hàochēng,动,
耗费,hàofèi,动,
浩瀚,hàohàn,形,
浩劫,hàojié,名,
好胜,hàoshèng,形,
耗时,hàoshí,动,
呵,hē,动,
呵护,hēhù,动,
何,hé,代,
和2,hé,形,
核,hé,名,
和蔼,hé’ǎi,形,
何必,hébì,副,
核查,héchá,动,
合唱,héchàng,动,
何等,héděng,代、副,
核电站,hédiànzhàn,名,
核对,héduì,动,
和好,héhǎo,形、动,
合乎,héhū,动,
荷花,héhuā,名,
合伙,héhuǒ,动,
合计,héjì,动,
和解,héjiě,动,
何苦,hékǔ,副,
何况,hékuàng,连,
禾苗,hémiáo,名,
和睦,hémù,形,
核能,hénéng,名,
河畔,hépàn,名,
和平共处,hépíng gòngchǔ,,
和气,héqi,形、名,
和尚,héshang,名,
核实,héshí,动,
核桃,hétao,名,
核武器,héwǔqì,名,
合约,héyuē,名,
何止,hézhǐ,动,
合资,hézī,动,
喝彩,hècǎi,动,
贺电,hèdiàn,名,
鹤立鸡群,hèlìjīqún,,
赫然,hèrán,形,
贺信,hèxìn,名,
黑客,hēikè,名,
黑马,hēimǎ,名,
黑名单,hēimíngdān,名,
恨不得,hènbude,动,
哼,hēng,动,
横,héng,形,
横向,héngxiàng,形,
恒星,héngxīng,名,
轰,hōng,拟声、动,
烘,hōng,动,
烘焙,hōngbèi,动,
轰动,hōngdòng,动,
烘干,hōnggān,动,
哄堂大笑,hōngtáng-dàxiào,,
烘托,hōngtuō,动,
轰炸,hōngzhà,动,
宏观,hóngguān,形,
红火,hónghuo,形,
红利,hónglì,名,
洪亮,hóngliàng,形,
红扑扑,hóngpūpū,形,
红润,hóngrùn,形,
红薯,hóngshǔ,名,
宏伟,hóngwěi,形,
弘扬,hóngyáng,动,
哄,hǒng,动,
喉咙,hóulóng,名,
吼,hǒu,动,
后备,hòubèi,形、名,
后备箱,hòubèixiāng,名,
厚道,hòudao,形,
后盾,hòudùn,名,
后顾之忧,hòugùzhīyōu,,
后勤,hòuqín,名,
后世,hòushì,名,
后台,hòutái,名,
后续,hòuxù,形,
候选人,hòuxuǎnrén,名,
后裔,hòuyì,名,
后遗症,hòuyízhèng,名,
呼,hū,动,
呼唤,hūhuàn,动,
呼救,hūjiù,动,
忽冷忽热,hūlěng-hūrè,,
呼声,hūshēng,名,
呼啸,hūxiào,动,
呼应,hūyìng,动,
忽悠,hūyou,动,
呼吁,hūyù,动,
糊,hú,动,
狐狸,húli,名,
胡乱,húluàn,副,
胡闹,húnào,动,
湖泊,húpō,名,
胡说,húshuō,动,
胡思乱想,húsī-luànxiǎng,,
糊涂,hútu,形,
护,hù,动,
互补,hùbǔ,动,
护理,hùlǐ,动,
花瓣,huābàn,名,
花卉,huāhuì,名,
花蕾,huālěi,名,
花纹,huāwén,名,
花样,huāyàng,名,
划不来,huábulái,形,
划得来,huádelái,形,
滑稽,huájī,形,
华丽,huálì,形,
华侨,huáqiáo,名,
哗然,huárán,形,
华人,huárén,名,
划算,huásuàn,动、形,
滑梯,huátī,名,
华裔,huáyì,名,
画册,huàcè,名,
化肥,huàféi,名,
化解,huàjiě,动,
画龙点睛,huàlóng-diǎnjīng,,
化身,huàshēn,名,
画蛇添足,huàshé-tiānzú,,
划时代,huàshídài,形,
化险为夷,huàxiǎnwéiyí,,
化验,huàyàn,动,
话语,huàyǔ,名,
怀抱,huáibào,动、名,
怀旧,huáijiù,动,
槐树,huáishù,名,
欢呼,huānhū,动,
欢聚,huānjù,动,
欢快,huānkuài,形,
欢声笑语,huānshēng-xiàoyǔ,,
环比,huánbǐ,动,
环球,huánqiú,动,
环绕,huánrào,动,
缓,huǎn,动,
缓和,huǎnhé,形、动,
焕发,huànfā,动,
幻觉,huànjué,名,
唤起,huànqǐ,动,
换取,huànqǔ,动,
焕然一新,huànrán-yìxīn,,
唤醒,huànxǐng,动,
幻影,huànyǐng,名,
荒,huāng,动,
慌,huāng,形,
荒诞,huāngdàn,形,
荒凉,huāngliáng,形,
慌乱,huāngluàn,形,
慌忙,huāngmáng,形,
荒谬,huāngmiù,形,
荒唐,huāngtáng,形,
慌张,huāngzhāng,形,
皇宫,huánggōng,名,
皇后,huánghòu,名,
黄昏,huánghūn,名,
皇上,huángshang,名,
皇室,huángshì,名,
晃,huǎng,动,
谎话,huǎnghuà,名,
恍然大悟,huǎngrán-dàwù,,
谎言,huǎngyán,名,
晃,huàng,动,
晃荡,huàngdang,动,
辉煌,huīhuáng,形,
挥霍,huīhuò,动,
挥舞,huīwǔ,动,
回避,huíbì,动,
回归,huíguī,动,
回合,huíhé,名,
回馈,huíkuì,动,
回落,huíluò,动,
回升,huíshēng,动,
回首,huíshǒu,动,
回味,huíwèi,名、动,
回想,huíxiǎng,动,
回忆录,huíyìlù,名,
回应,huíyìng,动,
毁,huǐ,动,
悔恨,huǐhèn,动,
毁坏,huǐhuài,动,
毁灭,huǐmiè,动,
会场,huìchǎng,名,
汇合,huìhé,动,
汇集,huìjí,动,
汇聚,huìjù,动,
贿赂,huìlù,动、名,
会面,huìmiàn,动,
绘声绘色,huìshēng-huìsè,,
会谈,huìtán,动,
会晤,huìwù,动,
会意,huìyì,动,
会诊,huìzhěn,动,
绘制,huìzhì,动,
昏,hūn,动,
荤,hūn,名,
昏迷,hūnmí,动,
婚纱,hūnshā,名,
浑身,húnshēn,名,
混淆,hùnxiáo,动,
混浊,hùnzhuó,形,
豁,huō,动,
豁出去,huōchuqu,动,
活该,huógāi,动,
活期,huóqī,形,
火爆,huǒbào,形,
火候,huǒhou,名,
火花,huǒhuā,名,
火箭,huǒjiàn,名,
火炬,huǒjù,名,
火辣辣,huǒlàlà,形,
火热,huǒrè,形,
火山,huǒshān,名,
伙食,huǒshí,名,
火速,huǒsù,副,
火腿,huǒtuǐ,名,
火焰,huǒyàn,名,
豁达,huòdá,形,
或多或少,huòduō-huòshǎo,,
祸害,huòhai,名、动,
获悉,huòxī,动,
货运,huòyùn,名,
积,jī,动,
基本功,jīběngōng,名,
机舱,jīcāng,名,
基层,jīcéng,名,
激荡,jīdàng,动,
积淀,jīdiàn,动、名,
机动,jīdòng,形,
肌肤,jīfū,名,
机关,jīguān,名、形,
激光,jīguāng,名,
激化,jīhuà,动,
激活,jīhuó,动,
基建,jījiàn,名,
基金会,jījīnhuì,名,
机灵,jīling,形,
机密,jīmì,形、名,
激起,jīqǐ,动,
激素,jīsù,名,
讥笑,jīxiào,动,
畸形,jīxíng,形,
积蓄,jīxù,动、名,
基于,jīyú,介,
积攒,jīzǎn,动,
激增,jīzēng,动,
机智,jīzhì,形,
基准,jīzhǔn,名,
即,jí,副,
级别,jíbié,名,
急促,jícù,形,
极度,jídù,副,
嫉妒,jídù,动,
急功近利,jígōng-jìnlì,,
籍贯,jíguàn,名,
集会,jíhuì,动、名,
急剧,jíjù,形,
即可,jíkě,动,
吉利,jílì,形,
极力,jílì,副,
急迫,jípò,形,
汲取,jíqǔ,动,
即日,jírì,名,
即时,jíshí,副,
集市,jíshì,名,
棘手,jíshǒu,形,
集思广益,jísī-guǎngyì,,
吉他,jítā,名,
极限,jíxiàn,名,
吉祥物,jíxiángwù,名,
急性,jíxìng,形,
急于,jíyú,动,
急于求成,jíyú-qiúchéng,,
急躁,jízào,形,
及早,jízǎo,副,
急中生智,jízhōng-shēngzhì,,
集装箱,jízhuāngxiāng,名,
集资,jízī,动,
脊梁,jǐliáng,名,
挤压,jǐyā,动,
计,jì,动、名,
忌,jì,动,
剂,jì,名、量,
继,jì,连,
祭,jì,动,
暨,jì,连,
继而,jì’ér,连,
计策,jìcè,名,
祭奠,jìdiàn,动,
忌妒,jìdu,动,
继父,jìfù,名,
记号,jìhao,名,
忌讳,jìhuì,动、名,
计较,jìjiào,动,
寂静,jìjìng,形,
忌又,jìkǒu,动,
剂量,jìliàng,名,
继母,jìmǔ,名,
纪念碑,jìniànbēi,名,
纪实,jìshí,动、名,
祭祀,jìsì,动,
寄托,jìtuō,动,
迹象,jìxiàng,名,
绩效,jìxiào,名,
记性,jìxing,名,
纪要,jìyào,名,
记忆犹新,jìyì-yóuxīn,,
家伙,jiāhuo,名,
家教,jiājiào,名,
佳节,jiājié,名,
加紧,jiājǐn,动,
家境,jiājìng,名,
加盟,jiāméng,动,
嘉年华,jiāniánhuá,名,
家禽,jiāqín,名,
家世,jiāshì,名,
佳肴,jiāyáo,名,
家用,jiāyòng,名、形,
家喻户晓,jiāyù-hùxiǎo,,
夹杂,jiāzá,动,
家政,jiāzhèng,名,
加之,jiāzhī,连,
夹子,jiāzi,名,
家族,jiāzú,名,
假定,jiǎdìng,动,
假冒,jiǎmào,动,
假使,jiǎshǐ,连,
假装,jiǎzhuāng,动,
驾,jià,动、量,
架势,jiàshi,名,
价位,jiàwèi,名,
驾驭,jiàyù,动,
价值观,jiàzhíguān,名,
嫁妆,jiàzhuang,名,
架子,jiàzi,名,
兼,jiān,动,
煎,jiān,动,
煎熬,jiān’áo,动,
监察,jiānchá,动,
尖端,jiānduān,名、形,
肩负,jiānfù,动,
兼顾,jiāngù,动,
监管,jiānguǎn,动,
坚果,jiānguǒ,名,
监护,jiānhù,动,
艰巨,jiānjù,形,
监控,jiānkòng,动,
歼灭,jiānmiè,动,
坚韧,jiānrèn,形,
兼任,jiānrèn,动,
兼容,jiānróng,动,
尖锐,jiānruì,形,
坚实,jiānshí,形,
监视,jiānshì,动,
坚守,jiānshǒu,动,
艰险,jiānxiǎn,形,
坚信,jiānxìn,动,
监狱,jiānyù,名,
奸诈,jiānzhà,形,
拣,jiǎn,动,
剪彩,jiǎncǎi,动,
检察,jiǎnchá,动,
简称,jiǎnchēng,名、动,
简短,jiǎnduǎn,形,
减负,jiǎnfù,动,
剪辑,jiǎnjí,动,
简洁,jiǎnjié,形,
简练,jiǎnliàn,形,
简陋,jiǎnlòu,形,
减免,jiǎnmiǎn,动,
检讨,jiǎntǎo,动、名,
简体字,jiǎntǐzì,名,
减退,jiǎntuì,动,
简要,jiǎnyào,形,
简易,jiǎnyì,形,
贱,jiàn,形,
溅,jiàn,动,
鉴别,jiànbié,动,
间谍,jiàndié,名,
间断,jiànduàn,动,
见多识广,jiànduō-shíguǎng,,
见解,jiànjiě,名,
见利忘义,jiànlì-wàngyì,,
健美,jiànměi,形、名,
见仁见智,jiànrén-jiànzhì,,
鉴赏,jiànshǎng,动,
见识,jiànshi,动、名,
建树,jiànshù,动、名,
践踏,jiàntà,动,
见外,jiànwài,形,
见闻,jiànwén,名,
间隙,jiànxì,名,
见效,jiànxiào,动,
间歇,jiànxiē,动,
见义勇为,jiànyì-yǒngwéi,,
鉴于,jiànyú,介、连,
见证,jiànzhèng,动、名,
健壮,jiànzhuàng,形,
姜,jiāng,名,
僵,jiāng,形,
僵化,jiānghuà,动,
将就,jiāngjiu,动,
僵局,jiāngjú,名,
江山,jiāngshān,名,
僵硬,jiāngyìng,形,
桨,jiǎng,名,
奖杯,jiǎngbēi,名,
讲理,jiǎnglǐ,动、形,
奖赏,jiǎngshǎng,动,
奖项,jiǎngxiàng,名,
降临,jiànglín,动,
焦,jiāo,形,
交叉,jiāochā,动,
交代,jiāodài,动,
交锋,jiāofēng,动,
交付,jiāofù,动,
娇惯,jiāoguàn,动,
交互,jiāohù,副、动,
交集,jiāojí,动,
焦急,jiāojí,形,
交界,jiāojiè,动,
交接,jiāojiē,动,
交纳,jiāonà,动,
胶囊,jiāonáng,名,
娇气,jiāoqì,形,
交情,jiāoqing,名,
交涉,jiāoshè,动,
礁石,jiāoshí,名,
交替,jiāotì,动,
交头接耳,jiāotóu-jiē’ěr,,
交响乐,jiāoxiǎngyuè,名,
郊游,jiāoyóu,动,
焦躁,jiāozào,形,
交织,jiāozhī,动,
嚼,jiáo,动,
绞,jiǎo,动,
搅,jiǎo,动,
缴,jiǎo,动,
搅拌,jiǎobàn,动,
狡猾,jiǎohuá,形,
缴纳,jiǎonà,动,
脚踏实地,jiǎotāshídì,,
侥幸,jiǎoxìng,形,
矫正,jiǎozhèng,动,
叫板,jiàobǎn,动,
轿车,jiàochē,名,
叫好,jiàohǎo,动,
较劲,jiàojìn,动,
教科书,jiàokēshū,名,
较量,jiàoliàng,动,
教条,jiàotiáo,名、形,
教养,jiàoyǎng,动、名,
